tx/rx,0,1,2,3
0,290541.66,3576.3435,743.8204,329.69424
1,15668.531,257510.23,3139.9114,675.55664
2,1129.1401,13949.4795,230263.4,2793.1653
3,393.88165,1028.9675,12534.121,207514.3
