tx/rx,0,1,2,3
0,5.469366292391976e-09,3.909441399139335e-09,3.870924735108405e-09,5.161232980144541e-09
1,3.639824750922829e-09,5.0456829880517524e-09,3.6013080868918997e-09,3.5627914228609704e-09
2,3.312433106659929e-09,3.389466434721788e-09,4.6990330117733876e-09,3.331691438675394e-09
3,4.121283051309447e-09,3.0813331224743524e-09,3.1583664505362114e-09,4.3908996995259524e-09
