tx/rx,0,1,2,3
0,1.1940165849588115e-09,1.5406665612371762e-09,1.6176998892990352e-09,1.7332498813918233e-09
1,1.502149897206247e-09,1.1747582529433469e-09,1.502149897206247e-09,1.5791832252681057e-09
2,1.559924893252641e-09,1.4636332331753174e-09,1.1362415889124176e-09,1.4636332331753174e-09
3,1.6369582213144998e-09,1.5214082292217115e-09,1.4251165691443881e-09,1.1169832568969528e-09
