tx/rx,0,1,2,3
0,263010.8,1338.8763,525.47754,303.82532
1,1319.7208,253222.5,1321.3704,521.33136
2,524.3882,1303.9879,244008.78,1303.9879
3,304.943,521.7121,1288.7567,235321.03
