tx_index,f_hat_hz,expected_hz,e_m_hz,d_m_hz
0,999816536.2035224,1000000000.0,-183463.79647755623,562622.3091976643
1,1025379158.5127201,1025000000.0,379158.51272010803,-599315.0684931278
2,1049779843.444227,1050000000.0,-220156.5557730198,562622.3091976643
3,1075342465.7534246,1075000000.0,342465.75342464447,0.0
